year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
2014,"Anton Kathrein, Jr.",1270,DEU,1.4,inherited,male,29,Consumer,new,relation
1996,Anton Rupert,250,ZAF,1.6,inherited,male,0,Consumer,new,relation
2001,Antonia Johnson,490,SWE,1,inherited,female,57,Money Management,new,relation
2014,Antonia Johnson,153,SWE,8.5,inherited,female,70,Diversified financial,new,relation
2001,Antonio Champalimaud,234,PRT,2,inherited,male,82,Money Management,new,relation
2014,Antonio Del Valle Ruiz,281,MEX,5,executive,male,75,Non-consumer industrial,aquired,Honorary President for Life
1996,Antonio Ermirio de Moraes,31,BRA,5.1,inherited,male,0,Non-consumer industrial,new,relation
2001,Antonio Ermirio de Moraes,116,BRA,3.5,inherited,male,,Non-consumer industrial,new,relation
2014,Antonio Ermirio de Moraes,520,BRA,3.1,inherited,male,85,Diversified financial,new,relation
2014,Antonio Luiz Seabra,828,BRA,2.1,founder non-finance,male,71,Consumer,new,founder
2014,Antti Herlin,483,FIN,3.3,inherited,male,57,Non-consumer industrial,aquired,relation
2014,Aras Agalarov,988,RUS,1.8,self-made finance,male,58,Real Estate,new,founder
2001,Archie Aldis Emmerson,421,USA,1.2,privatized and resources,male,71,Mining and metals,new,founder
2014,Archie Aldis Emmerson,520,USA,3.1,privatized and resources,male,84,Mining and metals,new,founder
2014,Aristotelis Mistakidis,687,GRC,2.5,privatized and resources,male,52,Mining and metals,new,"co-director of zinc, copper and lead",,,,,,,,,,,,
2014,Arkady Rotenberg,375,RUS,4,privatized and resources,male,62,Constrution,"new, privitization",owner
2014,Arkady Volozh,1046,RUS,1.7,founder non-finance,male,50,Technology-Computer,new,founder
2014,Arne Wilhelmsen,869,NOR,2,inherited,male,83,"Retail, Restaurant",new,relation
2014,Arnon Milchan,319,ISR,4.7,founder non-finance,male,69,Media,new,founder
2001,Arthur Blank,251,USA,1.9,founder non-finance,male,58,"Retail, Restaurant",new,founder
2014,Arthur Blank,988,USA,1.8,founder non-finance,male,71,"Retail, Restaurant",new,founder
2014,Arthur Irving,256,CAN,5.5,inherited,male,84,Energy,new,relation
2001,Arthur Rock,452,USA,1.1,self-made finance,male,74,Venture Capital,new,founder
2001,Arthur Williams Jr,387,USA,1.3,self-made finance,male,58,Hedge funds,new,founder
2001,Arturo Moreno,387,USA,1.3,self-made finance,male,54,Real Estate,new,CEO
2014,Arturo Moreno,1284,USA,1.3,self-made finance,male,67,Real Estate,new,CEO
2014,Ashwin Dani,1356,IND,1.3,inherited,male,71,Consumer,new,relation
2014,Asok Kumar Hiranandani,1372,SGP,1.2,inherited,male,59,Real Estate,new,relation
2014,August Oetker,1078,DEU,1.7,inherited,male,69,Consumer,new,relation
1996,August von Finck,88,DEU,3.1,inherited,male,65,Money Management,new,relation
2001,August von Finck,70,DEU,5,inherited,male,70,Money Management,new,relation
2014,August von Finck,160,DEU,8.3,inherited,male,83,Diversified financial,new,relation
2014,Augusto & Giorgio Perfetti,186,ITA,7.2,inherited,male,,Consumer,new,relation
2014,"Austen Cargill, II.",506,USA,3.2,inherited,male,63,Money Management,new,relation
1996,Autrey family,400,MEX,1,,,0,Non-consumer industrial,,,,,,,,,,,,,,
2014,Axel Oberwelland,408,DEU,3.7,inherited,male,47,Consumer,new,relation
2014,Aydin Dogan,1465,TUR,1.1,founder non-finance,male,77,Media,new,founder
1996,Ayhan Sahenk,288,TUR,1.4,self-made finance,male,0,Money Management,new,founder
2001,Ayhan Sahenk,234,TUR,2,self-made finance,male,,Money Management,new,founder
2014,Ayman Asfari,973,GBR,1.9,privatized and resources,male,55,Energy,new,Chief Executive
2014,Ayman Hariri,1372,LBN,1.2,inherited,male,35,Constrution,aquired,relation
2001,Azim Premji,42,IND,6.9,inherited,male,55,Technology-Computer,new,relation
2014,Azim Premji,61,IND,15.3,inherited,male,68,Technology-Computer,new,relation
2014,Aziz Akhannouch,1210,MAR,1.4,inherited,male,53,Energy,new,relation
2014,B. Wayne Hughes,828,USA,2.1,founder non-finance,male,80,"Retail, Restaurant",new,founder
2014,B.R. Shetty,1565,IND,1,founder non-finance,male,72,Technology-Medical,new,founder
2014,Baba Kalyani,1284,IND,1.3,inherited,male,65,Other,new,relation
2014,Bachtiar Karim,869,IDN,2,inherited,male,57,Non-consumer industrial,new,relation
2014,Bahaa Hariri,796,LBN,2.2,inherited,male,47,Real Estate,aquired,relation
1996,Baldwin and Nikolaus Knauf,302,DEU,1.3,inherited,male,0,Constrution,new,relation
1996,Banyong Lamsam,143,THA,2.5,inherited,male,0,Money Management,new,relation
2001,Barbara Carlson Gage,363,USA,1.4,inherited,female,59,Real Estate,new,relation
2014,Barbara Carlson Gage,340,USA,4.4,inherited,female,71,Real Estate,new,relation
1996,Barbara Cox Anthony,57,USA,4,inherited,female,72,Media,aquired,relation
2001,Barbara Cox Anthony,21,USA,11.7,inherited,female,77,Media,aquired,relation
1996,Barbara Piasecka Johnson,335,USA,1.2,inherited,female,59,Technology-Medical,new,relation
2001,Barbara Piasecka Johnson,209,USA,2.2,inherited,female,64,Technology-Medical,new,relation
1996,Baron Hans Heinrich Thyssen-Bornemisza,365,CHE,1.1,inherited,male,0,Non-consumer industrial,new,relation
2001,Barry Diller,490,USA,1,executive,male,59,Technology-Computer,new,Chairman and Chief Executive Officer
2014,Barry Diller,731,USA,2.4,executive,male,72,Media,new,Chairman and Chief Executive Officer
2001,Barry Lam,452,Taiwan,1.1,founder non-finance,male,51,Technology-Computer,new,founder
2014,Barry Lam,367,Taiwan,4.1,founder non-finance,male,64,Technology-Computer,new,founder
2014,Bassam Alghanim,1356,KWT,1.3,inherited,male,62,Diversified financial,new,relation
2001,Belmiro de Azevedo,490,PRT,1,executive,male,59,"Retail, Restaurant",aquired,chairman
2014,Belmiro de Azevedo,687,PRT,2.5,executive,male,75,"Retail, Restaurant",aquired,chairman
1996,Bemberg family,348,ARG,1.1,inherited,,0,Consumer,new,relation
2014,Benedicta Chamberlain,1372,GBR,1.2,inherited,female,70,Consumer,new,relation
2001,Benjamin de Rothschild,490,CHE,1,inherited,male,,Money Management,new,relation
2014,Benjamin de Rothschild,869,CHE,2,inherited,male,50,Money Management,new,relation
1996,Bennett Dorrance,228,USA,1.8,inherited,male,63,Consumer,aquired,relation
2001,Bennett Dorrance,336,USA,1.5,inherited,male,58,Consumer,aquired,relation
2014,Bennett Dorrance,869,USA,2,inherited,male,68,Consumer,aquired,relation
2014,Bent Jensen,1565,DEN,1,inherited,male,62,Technology-Computer,new,relation
2014,Benu Gopal Bangur,1143,IND,1.6,inherited,male,82,Constrution,new,relation
2014,Beny Steinmetz,367,ISR,4.1,inherited,male,57,Mining and metals,new,relation
2014,Bergit Douglas,1078,DEU,1.7,inherited,female,67,Consumer,new,relation
2014,Bernard (Barry) Sherman,388,CAN,3.9,inherited,male,72,Technology-Medical,new,relation
2001,Bernard Arnault,26,FRA,10.7,founder non-finance,male,52,Consumer,acquired,founder
2014,Bernard Arnault,15,FRA,33.5,founder non-finance,male,64,Consumer,acquired,founder
